,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FL,[],,,,,,,[],,,[],[],[],,,,[],[],[],[],[],,[],,[],,[],[],,[],,[],[],[],,,,[],,[],[],[],[],[],,[],[],[],[],,[],[],[],[],[],[],[],,[],[],[],[],,[],"['YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC', 'YMQ', 'PDX', 'YYC', 'STX', 'IST', 'MNL', 'BKK', 'LAX', 'BOS', 'AMS', 'SFO', 'KIN', 'COR', 'DFW', 'POP', 'RIC']",
FM,,,,,,,,,,,[],,[],,,,,,[],,,,,,,,,[],[],,,,,[],[],[],,,[],[],,,,,[],[],,,,[],[],[],,,[],,,,,,,,,,,
GA,[],[],,,,,,,[],,[],[],[],[],,,,,,,[],[],[],[],[],[],[],,,,,[],,,,,,[],[],,[],[],[],[],,[],[],[],[],,,[],[],,[],[],[],,[],,,[],[],[],"['CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM', 'CHI', 'MEX', 'PHX', 'TYO', 'HYD', 'HKG', 'MOW', 'SIN', 'KTM']",
GU,,,,,,,,,,,[],,,,,,,,,,,,,[],,,,,,,,,,,,[],,,[],[],,,,,,[],,,,[],[],[],,,,,,,,,,[],[],,,
HI,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IA,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ID,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IL,,,,,[],,,,[],,,,[],,[],[],[],,,[],[],[],[],[],,,[],,[],[],[],,[],[],[],,[],[],,[],[],[],[],[],[],,[],,[],[],[],[],[],[],[],[],[],[],[],,[],[],,,,
IN,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
KS,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
KY,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
LA,[],,,[],[],[],,,,,[],[],[],,,,[],,[],,[],[],[],,[],[],[],[],,,[],[],[],,,[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],,[],[],,[],[],[],[],,[],[],[],
MA,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS']","['NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS', 'NYC', 'LAS', 'PHL', 'MAD', 'BCN', 'PHX', 'SAO', 'SDQ', 'PDX', 'BJS']"
